NAME,RA,DEC,PMRA,PMDEC,EPOCH,RESOLUTION,SUBSURVEY,TEMPLATE,RULESET,EXTENT_FLAG,EXTENT_PARAMETER,EXTENT_INDEX,MAG_TYPE,MAG,MAG_ERR,DATE_EARLIEST,DATE_LATEST,CADENCE,REDDENING,REDSHIFT_ESTIMATE,REDSHIFT_ERROR,TEMPLATE_REDSHIFT,CAL_MAG_BLUE,CAL_MAG_GREEN,CAL_MAG_RED,CAL_MAG_ERR_BLUE,CAL_MAG_ERR_GREEN,CAL_MAG_ERR_RED,CAL_MAG_ID_BLUE,CAL_MAG_ID_GREEN,CAL_MAG_ID_RED,CLASSIFICATION,COMPLETENESS,PARALLAX
50439361,6.964756,-5.81133,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1211_snt23_phase25_redshift0.010.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,20.415274,0.0,2461732.0,2461737.0,1048576,0.0,0.01566,0.0,0.01566,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
90713782,313.397995,-30.675578,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid189_snt1_phase-7_redshift0.355.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.929394,0.0,2462365.0,2462370.0,1048576,0.0,0.349414,0.0,0.349414,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
31521302,251.092062,-65.071172,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1341_snt25_phase10_redshift0.191.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.28051,0.0,2461559.0,2461564.0,1048576,0.0,0.193904,0.0,0.193904,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
123915366,38.791877,-33.226151,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid206_snt1_phase-7_redshift0.375.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.107544,0.0,2460959.0,2460964.0,1048576,0.0,0.373641,0.0,0.373641,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
15336163,45.505221,-75.034551,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1379_snt25_phase25_redshift0.305.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,23.517773,0.0,2462526.0,2462531.0,1048576,0.0,0.295478,0.0,0.295478,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
166226710,49.723592,-37.22615,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid120_snt1_phase-11_redshift0.271.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.082426,0.0,2460935.0,2460940.0,1048576,0.0,0.281167,0.0,0.281167,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
75848261,20.366049,-23.724975,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid84_snt1_phase49_redshift0.198.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.434496,0.0,2461422.0,2461427.0,1048576,0.0,0.19728,0.0,0.19728,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
117742301,64.357228,-18.429971,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid140_snt1_phase1_redshift0.293.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.402657,0.0,2461016.0,2461021.0,1048576,0.0,0.28705,0.0,0.28705,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
39272355,44.875206,-36.020064,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid160_snt1_phase13_redshift0.315.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.438839,0.0,2461005.0,2461010.0,1048576,0.0,0.307707,0.0,0.307707,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
42085549,27.401866,-30.421283,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid295_snt1_phase9_redshift0.471.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.38033,0.0,2462445.0,2462450.0,1048576,0.0,0.474666,0.0,0.474666,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
111573905,191.905338,-2.220173,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1275_snt23_phase-5_redshift0.324.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.082506,0.0,2462270.0,2462275.0,1048576,0.0,0.316206,0.0,0.316206,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
128145136,223.608063,6.951354,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt775_mass10pt50_sfr02pt00_z00pt525.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,21.799,0.0,2461198.6,2462865.0,0,0.0,0.52265,0.0,0.52265,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
105934828,115.271119,14.138556,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid212_snt1_phase17_redshift0.375.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,22.936165,0.0,2461435.0,2461440.0,1048576,0.0,0.373573,0.0,0.373573,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
96887319,233.628421,-2.713763,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid124_snt1_phase5_redshift0.271.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.736258,0.0,2461160.0,2461165.0,1048576,0.0,0.269157,0.0,0.269157,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
205981387,342.651893,-16.601423,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid94_snt1_phase21_redshift0.224.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.759,0.0,2461698.0,2461703.0,1048576,0.0,0.22002,0.0,0.22002,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
19081788,80.305224,-26.276399,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid190_snt1_phase-3_redshift0.355.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.74141,0.0,2462591.0,2462596.0,1048576,0.0,0.355108,0.0,0.355108,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
10838654,154.554752,-25.405914,0.0,0.0,2000.0,1,tides-hosts,SF_col00pt780_mass09pt88_sfr02pt00_z00pt225.fits,tides_hostsMay2024,0,0.0,0.0,LSST_r_AB,19.503,0.0,2461188.7,2462865.0,0,0.0,0.221878,0.0,0.221878,0.0,0.0,0.0,0.0,0.0,0.0,,,,GAL,0.0,0.0
198201798,333.477509,-11.59453,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid38_snt1_phase1_redshift0.136.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,19.771536,0.0,2462233.0,2462238.0,1048576,0.0,0.12741,0.0,0.12741,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
1787314,358.566861,-49.724268,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1358_snt25_phase25_redshift0.240.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.576569,0.0,2462438.0,2462443.0,1048576,0.0,0.239739,0.0,0.239739,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
211690145,178.51555,-48.195519,0.0,0.0,2000.0,1,tides-sn,SN_spec_specid1002_snt70_phase30_redshift0.924.fits,tides_snMay2024,0,0.0,0.0,LSST_r_AB,21.150768,0.0,2462623.0,2462628.0,1048576,0.0,0.939197,0.0,0.939197,0.0,0.0,0.0,0.0,0.0,0.0,,,,TRA,0.0,0.0
